"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0000009","MF","alpha-1,6-mannosyltransferase activity",3,2,0.994691614929277,1
"GO:0000012","BP","single strand break repair",14,12,0.980763549647715,1
"GO:0000014","MF","single-stranded DNA endodeoxyribonuclease activity",11,11,0.624647669370211,1
"GO:0000015","CC","phosphopyruvate hydratase complex",4,4,0.841290273903076,1
"GO:0000016","MF","lactase activity",1,1,0.957115257887297,1
"GO:0000017","BP","alpha-glucoside transport",2,2,0.91889578615433,1
"GO:0000018","BP","regulation of DNA recombination",138,134,0.29627921401568,1
"GO:0000019","BP","regulation of mitotic recombination",7,7,0.734707852079042,1
"GO:0000022","BP","mitotic spindle elongation",11,10,0.923789969182183,1
"GO:0000023","BP","maltose metabolic process",2,2,0.914547075745345,1
"GO:0000025","BP","maltose catabolic process",1,1,0.953046167721465,1
"GO:0000026","MF","alpha-1,2-mannosyltransferase activity",4,4,0.839850118809154,1
"GO:0000027","BP","ribosomal large subunit assembly",20,18,0.948549882819782,1
"GO:0000028","BP","ribosomal small subunit assembly",20,16,0.998472259061654,1
"GO:0000030","MF","mannosyltransferase activity",25,23,0.908337044660982,1
"GO:0000033","MF","alpha-1,3-mannosyltransferase activity",2,2,0.917129479014863,1
"GO:0000035","MF","acyl binding",2,2,0.91280191445716,1
"GO:0000036","MF","acyl carrier activity",1,1,0.957143009927713,1
"GO:0000038","BP","very long-chain fatty acid metabolic process",34,32,0.816167030884192,1
"GO:0000041","BP","transition metal ion transport",96,93,0.41971444987625,1
"GO:0000045","BP","autophagosome assembly",140,132,0.86060071860827,1
"GO:0000048","MF","peptidyltransferase activity",2,2,0.908262273583391,1
"GO:0000049","MF","tRNA binding",78,70,0.993760593799783,1
"GO:0000050","BP","urea cycle",11,10,0.919902211427247,1
"GO:0000052","BP","citrulline metabolic process",6,6,0.779305061120733,1
"GO:0000053","BP","argininosuccinate metabolic process",1,1,0.955343169868663,1
"GO:0000054","BP","ribosomal subunit export from nucleus",12,12,0.601044389748999,1
"GO:0000055","BP","ribosomal large subunit export from nucleus",6,6,0.772871510837142,1
"GO:0000056","BP","ribosomal small subunit export from nucleus",8,8,0.71577020398576,1
"GO:0000062","MF","fatty-acyl-CoA binding",14,14,0.545997024741961,1
"GO:0000064","MF","L-ornithine transmembrane transporter activity",4,4,0.839669324308506,1
"GO:0000070","BP","mitotic sister chromatid segregation",186,175,0.905633961589661,1
"GO:0000075","BP","cell cycle checkpoint signaling",183,175,0.636546880631327,1
"GO:0000076","BP","DNA replication checkpoint signaling",20,19,0.791282054425254,1
"GO:0000077","BP","DNA damage checkpoint signaling",113,108,0.665230188003353,1
"GO:0000079","BP","regulation of cyclin-dependent protein serine/threonine kinase activity",32,30,0.856225073568638,1
"GO:0000082","BP","G1/S transition of mitotic cell cycle",232,220,0.81167829590694,1
"GO:0000086","BP","G2/M transition of mitotic cell cycle",140,134,0.633726755873237,1
"GO:0000095","MF","S-adenosyl-L-methionine transmembrane transporter activity",1,1,0.959029168238401,1
"GO:0000096","BP","sulfur amino acid metabolic process",32,31,0.603932210145494,1
"GO:0000097","BP","sulfur amino acid biosynthetic process",15,14,0.866396595939743,1
"GO:0000098","BP","sulfur amino acid catabolic process",9,9,0.675806014678524,1
"GO:0000099","MF","sulfur amino acid transmembrane transporter activity",11,11,0.624174440660664,1
"GO:0000101","BP","sulfur amino acid transport",14,14,0.544643618121279,1
"GO:0000103","BP","sulfate assimilation",2,2,0.918182808034559,1
"GO:0000104","MF","succinate dehydrogenase activity",3,3,0.876523760502182,1
"GO:0000109","CC","nucleotide-excision repair complex",11,9,0.991092762028821,1
"GO:0000110","CC","nucleotide-excision repair factor 1 complex",3,3,0.883753365983328,1
"GO:0000111","CC","nucleotide-excision repair factor 2 complex",1,1,0.958131606660966,1
"GO:0000112","CC","nucleotide-excision repair factor 3 complex",1,0,1,1
"GO:0000118","CC","histone deacetylase complex",77,76,0.172004734074335,1
"GO:0000120","CC","RNA polymerase I transcription regulator complex",6,5,0.974574282002141,1
"GO:0000121","MF","sn-glycerol 1-phosphatase activity",1,1,0.958911027300366,1
"GO:0000122","BP","negative regulation of transcription by RNA polymerase II",926,911,4.94891737177576e-06,0.000739980978446471
"GO:0000123","CC","histone acetyltransferase complex",84,82,0.306070705957726,1
"GO:0000124","CC","SAGA complex",23,23,0.377151495627137,1
"GO:0000126","CC","transcription factor TFIIIB complex",3,2,0.994865749297663,1
"GO:0000127","CC","transcription factor TFIIIC complex",6,6,0.7742608505268,1
"GO:0000132","BP","establishment of mitotic spindle orientation",37,37,0.204685068855453,1
"GO:0000137","CC","Golgi cis cisterna",16,15,0.83134703543139,1
"GO:0000138","CC","Golgi trans cisterna",8,8,0.706755699770014,1
"GO:0000139","CC","Golgi membrane",669,650,0.0381041684552142,0.930588469606232
"GO:0000140","MF","acylglycerone-phosphate reductase (NADP+) activity",1,1,0.958531938161032,1
"GO:0000145","CC","exocyst",16,16,0.506297233074327,1
"GO:0000146","MF","microfilament motor activity",38,38,0.193518556120894,1
"GO:0000149","MF","SNARE binding",104,101,0.355603818731705,1
"GO:0000150","MF","DNA strand exchange activity",2,2,0.916491721444487,1
"GO:0000151","CC","ubiquitin ligase complex",322,310,0.396117907877262,1
"GO:0000152","CC","nuclear ubiquitin ligase complex",45,43,0.70839376436198,1
"GO:0000153","CC","cytoplasmic ubiquitin ligase complex",10,10,0.650317220752393,1
"GO:0000154","BP","rRNA modification",33,31,0.833527091897509,1
"GO:0000159","CC","protein phosphatase type 2A complex",17,17,0.493804183962074,1
"GO:0000164","CC","protein phosphatase type 1 complex",19,19,0.450829262583515,1
"GO:0000165","BP","MAPK cascade",770,754,0.00073185130130245,0.0481619509060714
"GO:0000166","MF","nucleotide binding",2014,1938,0.174597383182614,1
"GO:0000171","MF","ribonuclease MRP activity",1,1,0.953171787300731,1
"GO:0000172","CC","ribonuclease MRP complex",9,9,0.670840912682307,1
"GO:0000175","MF","3'-5'-RNA exonuclease activity",36,35,0.554073510825376,1
"GO:0000176","CC","nuclear exosome (RNase complex)",16,16,0.493178989104289,1
"GO:0000177","CC","cytoplasmic exosome (RNase complex)",14,14,0.544687010817837,1
"GO:0000178","CC","exosome (RNase complex)",20,20,0.417964732970846,1
"GO:0000179","MF","rRNA (adenine-N6,N6-)-dimethyltransferase activity",4,3,0.989655725725298,1
"GO:0000182","MF","rDNA binding",9,9,0.682167125490802,1
"GO:0000183","BP","rDNA heterochromatin formation",7,7,0.744021782852376,1
"GO:0000184","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",43,39,0.967308910974127,1
"GO:0000209","BP","protein polyubiquitination",288,276,0.565528089498059,1
"GO:0000210","MF","NAD+ diphosphatase activity",3,3,0.876776397390661,1
"GO:0000212","BP","meiotic spindle organization",22,18,0.997901932877513,1
"GO:0000213","MF","tRNA-intron lyase activity",2,2,0.915063625653935,1
"GO:0000214","CC","tRNA-intron endonuclease complex",4,4,0.838874980580543,1
"GO:0000215","MF","tRNA 2'-phosphotransferase activity",2,2,0.919078078159546,1
"GO:0000217","MF","DNA secondary structure binding",35,35,0.228431543884267,1
"GO:0000220","CC","vacuolar proton-transporting V-type ATPase, V0 domain",9,8,0.94941533448934,1
"GO:0000221","CC","vacuolar proton-transporting V-type ATPase, V1 domain",12,11,0.907040440654003,1
"GO:0000224","MF","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity",1,1,0.960323607234429,1
"GO:0000225","MF","N-acetylglucosaminylphosphatidylinositol deacetylase activity",1,1,0.959414561143766,1
"GO:0000226","BP","microtubule cytoskeleton organization",665,644,0.10188545870211,1
"GO:0000228","CC","nuclear chromosome",222,215,0.275053289548513,1
"GO:0000235","CC","astral microtubule",10,10,0.65373592633413,1
"GO:0000242","CC","pericentriolar material",23,21,0.927334199211006,1
"GO:0000243","CC","commitment complex",5,4,0.983129385995269,1
"GO:0000244","BP","spliceosomal tri-snRNP complex assembly",26,21,0.999077951602404,1
"GO:0000245","BP","spliceosomal complex assembly",84,78,0.927594662563492,1
"GO:0000246","MF","Delta24(24-1) sterol reductase activity",1,1,0.960295905762081,1
"GO:0000248","MF","C-5 sterol desaturase activity",2,2,0.920476165379183,1
"GO:0000250","MF","lanosterol synthase activity",1,1,0.959551293337873,1
"GO:0000253","MF","3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity",5,4,0.979504441231618,1
"GO:0000254","MF","C-4 methylsterol oxidase activity",3,3,0.878345605610553,1
"GO:0000255","BP","allantoin metabolic process",10,10,0.6377942317815,1
"GO:0000256","BP","allantoin catabolic process",1,1,0.954066772495166,1
"GO:0000262","CC","mitochondrial chromosome",2,2,0.921790554608429,1
"GO:0000266","BP","mitochondrial fission",42,40,0.744704013964525,1
"GO:0000268","MF","peroxisome targeting sequence binding",5,5,0.807547654463247,1
"GO:0000270","BP","peptidoglycan metabolic process",6,6,0.75065836293268,1
"GO:0000271","BP","polysaccharide biosynthetic process",57,55,0.563742901714862,1
"GO:0000272","BP","polysaccharide catabolic process",28,27,0.661616510224908,1
"GO:0000278","BP","mitotic cell cycle",896,858,0.567536850726109,1
"GO:0000280","BP","nuclear division",444,426,0.494624101137865,1
"GO:0000281","BP","mitotic cytokinesis",95,90,0.801964878904664,1
"GO:0000285","MF","1-phosphatidylinositol-3-phosphate 5-kinase activity",3,3,0.879207619044375,1
"GO:0000287","MF","magnesium ion binding",221,214,0.284908238625582,1
"GO:0000288","BP","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",60,56,0.898199572329,1
"GO:0000289","BP","nuclear-transcribed mRNA poly(A) tail shortening",32,30,0.854710697014181,1
"GO:0000290","BP","deadenylation-dependent decapping of nuclear-transcribed mRNA",14,13,0.88632921116576,1
"GO:0000292","BP","RNA fragment catabolic process",1,1,0.957973111052614,1
"GO:0000293","MF","ferric-chelate reductase activity",3,3,0.883736731106342,1
"GO:0000295","MF","adenine nucleotide transmembrane transporter activity",20,20,0.426684137955939,1
"GO:0000296","BP","spermine transport",3,3,0.879374440773334,1
"GO:0000298","MF","endopolyphosphatase activity",2,2,0.917623961987268,1
"GO:0000301","BP","retrograde transport, vesicle recycling within Golgi",9,9,0.683724008177603,1
"GO:0000302","BP","response to reactive oxygen species",198,190,0.533397055782134,1
"GO:0000303","BP","response to superoxide",24,23,0.730739969164649,1
"GO:0000304","BP","response to singlet oxygen",1,1,0.96041114157458,1
"GO:0000305","BP","response to oxygen radical",25,24,0.715292305852012,1
"GO:0000307","CC","cyclin-dependent protein kinase holoenzyme complex",62,56,0.984760271051419,1
"GO:0000308","CC","cytoplasmic cyclin-dependent protein kinase holoenzyme complex",2,2,0.922043468098843,1
"GO:0000309","MF","nicotinamide-nucleotide adenylyltransferase activity",3,3,0.881487815890876,1
"GO:0000313","CC","organellar ribosome",86,80,0.917651408330213,1
"GO:0000314","CC","organellar small ribosomal subunit",32,30,0.83922458140819,1
"GO:0000315","CC","organellar large ribosomal subunit",54,50,0.911767225668151,1
"GO:0000320","BP","re-entry into mitotic cell cycle",3,3,0.881187273109517,1
"GO:0000322","CC","storage vacuole",2,2,0.917865499203298,1
"GO:0000323","CC","lytic vacuole",747,728,0.00857522202862197,0.336577464623412
"GO:0000332","MF","template for synthesis of G-rich strand of telomere DNA activity",1,1,0.956413786502831,1
"GO:0000333","CC","telomerase catalytic core complex",2,2,0.918663123101476,1
"GO:0000334","MF","3-hydroxyanthranilate 3,4-dioxygenase activity",1,1,0.956979608016373,1
"GO:0000338","BP","protein deneddylation",11,9,0.99053892861779,1
"GO:0000339","MF","RNA cap binding",18,17,0.832222484686058,1
