"","Description","N","DE","P.DE","FDR"
"hsa00010","Glycolysis / Gluconeogenesis",64,62,0.469021855694485,0.709252562269709
"hsa00020","Citrate cycle (TCA cycle)",28,28,0.298074673485502,0.556146507556111
"hsa00030","Pentose phosphate pathway",26,26,0.323425779038492,0.571808517399371
"hsa00040","Pentose and glucuronate interconversions",35,32,0.915790150319966,0.984919589961158
"hsa00051","Fructose and mannose metabolism",35,34,0.551169035444862,0.763754221074631
"hsa00052","Galactose metabolism",30,30,0.270908587035806,0.530410496722737
"hsa00053","Ascorbate and aldarate metabolism",28,25,0.954774041231966,0.98999006044238
"hsa00061","Fatty acid biosynthesis",17,16,0.839475811219767,0.946857203549759
"hsa00062","Fatty acid elongation",28,27,0.659731448613569,0.843552642916687
"hsa00071","Fatty acid degradation",42,41,0.44619108346997,0.697407911978273
"hsa00100","Steroid biosynthesis",18,18,0.459370636616407,0.70613998686489
"hsa00120","Primary bile acid biosynthesis",17,15,0.963063150905897,0.98999006044238
"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",12,12,0.5940726773473,0.794946172565452
"hsa00140","Steroid hormone biosynthesis",61,56,0.928781903123809,0.987162479891592
"hsa00190","Oxidative phosphorylation",118,110,0.928438739970846,0.987162479891592
"hsa00220","Arginine biosynthesis",21,20,0.780806936116693,0.927748845341718
"hsa00230","Purine metabolism",124,122,0.10023476065171,0.318695136431077
"hsa00232","Caffeine metabolism",5,5,0.77540089664787,0.927748845341718
"hsa00240","Pyrimidine metabolism",57,54,0.772897452119466,0.927748845341718
"hsa00250","Alanine, aspartate and glutamate metabolism",36,36,0.214277542409947,0.473030108674498
"hsa00260","Glycine, serine and threonine metabolism",35,34,0.546879138889687,0.761943968790126
"hsa00270","Cysteine and methionine metabolism",51,50,0.347416288342788,0.595570780016208
"hsa00280","Valine, leucine and isoleucine degradation",46,43,0.864845620914676,0.962167967317821
"hsa00290","Valine, leucine and isoleucine biosynthesis",4,4,0.838141441588955,0.946857203549759
"hsa00310","Lysine degradation",62,61,0.26313804690323,0.517922505015882
"hsa00330","Arginine and proline metabolism",44,39,0.989702610847319,0.999999403789894
"hsa00340","Histidine metabolism",20,20,0.424082836924521,0.682938594527799
"hsa00350","Tyrosine metabolism",35,33,0.795310409390813,0.935430912302803
"hsa00360","Phenylalanine metabolism",14,14,0.546156546517911,0.761943968790126
"hsa00380","Tryptophan metabolism",39,39,0.17493685833902,0.438828810526639
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",6,6,0.767956804803831,0.927748845341718
"hsa00410","beta-Alanine metabolism",31,29,0.858745532979617,0.962167967317821
"hsa00430","Taurine and hypotaurine metabolism",16,16,0.485006055097111,0.721689009984501
